SequenceNumber;SwingPhase;StickGlovePlane_X;StickGlovePlane_Y;StickGlovePlane_Z;FilterItem;FilterValue
2420;1;0,015664974;0,166981285;0,13131471;;
2421;1;0,015380275;0,163946524;0,128928163;;
2422;1;0,015091532;0,160868653;0,126507714;;
2423;1;0,014800106;0,157762192;0,124064781;;
2424;1;0,014504664;0,15461292;0,121588182;;
2425;1;0,01420537;0,151422584;0,11907929;;
2426;1;0,013903081;0,148200326;0,116545294;;
2427;1;0,013597199;0,144939768;0,113981178;;
2428;1;0,013289074;0,141655299;0,11139826;;
2429;1;0,012977444;0,13833347;0,108785961;;
2430;1;0,012662816;0,134979681;0,106148529;;
2431;1;0,012345097;0,131592944;0,103485186;;
2432;1;0,012029103;0,128224597;0,100836305;;
2433;1;0,011713624;0,124861745;0,098191746;;
2434;1;0,011395408;0,121469712;0,095524238;;
2435;1;0,011079984;0,118107441;0,092880135;;
2436;1;0,010762195;0,114719949;0,090216199;;
2437;1;0,010450333;0,111395655;0,087601962;;
2438;1;0,010136335;0,108048576;0,084969806;;
2439;1;0,009829684;0,104779829;0,082399251;;
2440;1;0,009528332;0,101567548;0,079873102;;
2441;1;0,009225076;0,098334985;0,077331002;;
2442;1;0,008928076;0,095169101;0,074841339;;
2443;1;0,008629199;0,091983218;0,072335949;;
2444;1;0,008333817;0,088834582;0,069859849;;
2445;1;0,008036824;0,085668772;0,067370244;;
2446;1;0,007745401;0,082562343;0,064927337;;
2447;1;0,00745984;0,079518401;0,06253357;;
2448;1;0,007172845;0,076459165;0,060127774;;
2449;1;0,006887968;0,073422509;0,057739737;;
2450;1;0,006602152;0,070375848;0,055343832;;
2451;1;0,006323863;0,067409418;0,05301102;;
2452;1;0,006044421;0,064430694;0,05066854;;
2453;1;0,005767146;0,061475076;0,048344231;;
2454;1;0,005490582;0,058527035;0,04602588;;
2455;1;0,005213086;0,055569057;0,043699716;;
2456;1;0,004936313;0,052618786;0,041379611;;
2457;1;0,004658421;0,049656585;0,039050125;;
2458;1;0,004375899;0,046645031;0,036681828;;
2459;1;0,004092492;0,043624042;0,03430611;;
2460;1;0,003808163;0,040593234;0,031922672;;
2461;1;0,003522903;0,037552497;0,029531425;;
2462;1;0,00323385;0,03447133;0,027108383;;
2463;1;0,002940235;0,031341524;0,024647093;;
2464;1;0,002645824;0,028203248;0,02217914;;
2465;1;0,002344451;0,024990749;0,019652819;;
2466;1;0,002042539;0,021772508;0,017121982;;
2467;1;0,001734325;0,018487092;0,014538319;;
2468;1;0,001425774;0,015198077;0,011951825;;
2469;1;0,001109787;0,011829814;0,00930301;;
2470;1;0,000788061;0,00840036;0,006606074;;
